what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343238130180
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1343238169966
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1343238170037
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238195135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238195270
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1343238215803
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1343238233225
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238248664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238380688
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1343238385522
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1343238385644
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238388416
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238417125
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1343238423909
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238425611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238432473
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343238432507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238440091
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238457485
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238460332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238536625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238540413
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238542601
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238543079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238785107
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1343238788461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238856145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238857658
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343238857805
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1343238858013
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1343238858082
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1343238858083
